name,address,subscribers,description,male_pct,female_pct
"Hi, AI | Новости технологий",https://t.me/hiaimedia,1179162,Главный канал об искусственном интеллекте и нейросетях.,40.7,59.3
Нейродвиж,https://t.me/neuraldvig,376489,"Культовый канал про нейросети, технологии и IT.",73.5,26.5
AI News | Нейросети,https://t.me/gpt_news,351613,Техподдержка @IMC_tech,43.0,57.0
Neural Pony,https://t.me/neuralpony,229389,Discover the latest advancements in artificial intelligence and deep learning through our Telegram channel dedicated to all things neural networks.,79.0,21.0
Machinelearning,https://t.me/ai_machinelearning_big_data,225743,Погружаемся в машинное обучение и Data Science,,
TechObserve,https://t.me/TechObserve,125600,"Все о трендах в мире технологий, IT и бизнеса",46.8,53.2
Джарвис Ньюс | Нейросети,https://t.me/JarvisNew,79012,"Джарвис, твой новостной ассистент в мире нейросетей. Лучший контент — здесь!",71.4,28.6
эйай ньюз,https://t.me/ai_newz,78648,"Культурно освещаю самые и не самые важные новости из мира AI, и облагораживаю их своим авторитетным профессиональным мнением.",75.8,24.2
Data Secrets,https://t.me/data_secrets,76167,Главный по машинному обучению,80.7,19.3
Сиолошная,https://t.me/seeallochnaya,64658,"Канал SeeAll'а с новостями (и мыслями о них) из мира NLP, VR и космоса.",,
Neural Shit,https://t.me/NeuralShit,49144,Проклятые нейронные сети,,
Machine learning Interview,https://t.me/machinelearning_interview,46422,"Разбираем вопросы с собеседований по Machine Learning, Data Science, Deep Learning и Нейронным сетям, Python.",,
Stable Diffusion News | Нейросети,https://t.me/StableDiffusionBest,40369,Наш бот — @StableDiffusion_robot,62.8,37.2
Нейропрактика | Все о нейросетях,https://t.me/neuro_praxis,31292,"Всё, что нужно знать про нейросети",10.5,89.5
Chad GPT | Нейросети,https://t.me/AI_Chad,29911,"Медиа о нейросетях, современном маркетинге и интернет-трендах.",59.6,40.4
Neural Brain - Нейросети,https://t.me/neural_braining,27783,"Самые топовые и горячие новости из всего мира по ИИ в одном месте, стараемся на совесть. Наш бот: https://t.me/Crazy_gpt_bot",64.7,35.3
Lama AI,https://t.me/lama_channel_gpt,23787,"@gpt_lama_bot — GPT-5, o3, o4-mini, Gemini 2.5 Pro, DeepSeek, Flux и многое другое!",68.4,31.6
Ринат Шакиров | Промпты для Midjourney | ChatGPT,https://t.me/dailyprompts,23347,"Главные новости в сфере ИИ, авторские промпты, обзор лучших ИИ-сервисов, а также способы использования ИИ в работе и жизни.",51.6,48.4
Not Boring Tech,https://t.me/notboring_tech,18162,Пишу про мир технологий и стартапов,67.4,32.6
Промпт для вдохновения,https://t.me/promtext,16205,Делимся фишками и лайфхаками различных нейросетей.,46.4,53.6
Ppprompt | Sexy AI Prompts & Experiments | by @ponchiknews,https://t.me/ppprompt,12023,Авторский канал про AI и технологии от Алексея Иванова @ponchiknews. Про рекламу можно спросить Женю: @RealPonchikTeam,66.4,33.6
Метаверсошная,https://t.me/olya_tashit,11919,Авторский канал Ольги Кай про Metaverse|VR|AR|ИИ|Аватары и зачем нам это все в жизни и бизнесе.,65.1,34.9
Точки над ИИ,https://t.me/TochkiNadAI,10811,Ресерчу AI-сервисы для всех профессий,61.7,38.3
CGIT_Vines,https://t.me/CGIT_Vines,10514,"Канал о сферах CG, Игр и Генератива, все с помощью чего мы генерируем визуальное и интерактивное искусство.",,
Бегин,https://t.me/inclient,10072,"Контент-маркетинг, нейросети и житие-бытие. Автор: Алексей Бегин (@begin17), партнерство не предлагать, а вот рекламу купить у меня можно",58.1,41.9
Nerual Dreming и нейросети,https://t.me/neuro_art0,9647,"Основатель онлайн нейросети ArtGeneration.me, техноблогер и нейро-евангилист.",76.5,23.5
Data Portal | Data Science & Машиннное обучение,https://t.me/DataSciencegx,8568,Присоединяйтесь к нашему каналу и погрузитесь в мир для дата сайентиста,79.7,20.3
База знаний AI,https://t.me/ict_moscow_ai,8165,Telegram-канал открытой базы знаний об искусственном интеллекте ict.moscow/ai,60.8,39.2
Digital Шкаф,https://t.me/digitalshkaf,7894,Журнал про технологии и их связь с искусством и модой,,
ChatGPT | NeuroNews,https://t.me/ChatGPT_NeuroNews,6320,Безлимитный @ChatGPT_Insight_Bot,47.1,52.9
Psy Eyes,https://t.me/Psy_Eyes,6318,Креатив + AI + Web3... и мемы,78.6,21.4
Digital in Pharma 💊,https://t.me/digital_in_pharma,6064,Фарма. Диджитал. Здравый смысл.,,
"Миджорниум - промпты и советы для нейросететей Midjourney, Dall-e, SD, и др.",https://t.me/midjornium,6056,"Канал для тех, кто любит создавать креативные изображения в Midjourney, Dall-e, SD и других нейросетях и видео в Runway, Kling и т.д.",40.4,59.6
"А я как сказал? Нейросети, SMM",https://t.me/ayakakskazal,5831,"Топовые нейросети для маркетологов, авторов и smm.",45.7,54.3
PROJECT+ | Нейросети,https://t.me/projplus,5814,"Новости и инсайды из мира нейросетей, уникальные промты и топовые AI-инструменты.",62.0,38.0
"Future Sailors — AR, AI, VR новости технологий",https://t.me/futuresailors,5307,"AI, AR и метавёрсы – исследуем технологии и доносим главное понятным языком.",62.1,37.9
ИИ — svodka.ai: краткие сводки каналов,https://t.me/svodkaai_ai,4984,"Каждое утро – сводка интересных сообщений из десятков каналов про искуссственный интеллект (ИИ, AI).",77.8,22.2
AI - агрегатор про нейронки | ИИ | AI,https://t.me/ainetworkss,4579,Telegram канал об AI (artificial intelligence):,,
Таня Румянцева PRO Нейросети/Автоматизация n8n,https://t.me/myspacet_ai,3975,"n8n, нейросети и автоматизация:",67.4,32.6
Futuris,https://t.me/Futuris,3821,"@Futuris - канал о технологиях, будущем и не только.",79.8,20.2
"OMG GPT: Midjourney, DeepSeek, IT",https://t.me/omggpt,3780,"ИИ-дайджест: тренды, технологии, нейросети и цифровые инновации!",59.1,40.9
SkyNet AI – Нейросети AI,https://t.me/Sky_Net_AI,3638,ИИ | Нейросети | Технологии,55.9,44.1
AI Sapiens | Нейросети и ИИ,https://t.me/aisapiens,3386,Как искусственный интеллект помогает победить естественную глупость и получить сверхъестественные результаты,,
GPT Access | про нейросети,https://t.me/gpt_access,3337,Нескучные новости из мира нейросетей,70.6,29.4
✴️Креативная волшба Крис | RealSWorld🌍,https://t.me/Creative_Volshba_KJ,2981,"Канал Крис Джонсон из Стокгольма: нейрокреатор, нейроинтегратор и нейромодель. Вдохновляю, внедряю ИИ и развиваю виртуальный инфлюенс для прогрессивных бизнес-решений.",,
ИИ тебе,https://t.me/iitebe,2893,"Полезные нейросети, сервисы с ИИ, и применение нейросетей в реальной жизни. Будущее уже здесь.",78.5,21.5
🟢 Человечный интеллект,https://t.me/ai_vibe,2219,Учу понимать и создавать визуальный контент нового времени — с помощью нейросетей,,
AI и грабли,https://t.me/oestick,2154,"Строил HR продукты для американского бигтеха. Внедряю AI в чужой бизнес, делаю свой, косячу и пишу про подноготную.",82.5,17.5
100% AI-generated | Нейросети & Арт,https://t.me/aigeneratedstuff,2122,Frontend-канал мира нейросетей,62.7,37.3
Upgraide.me — Ваша команда ИИ,https://t.me/upgraide_ru,1939,Ваша личная команда ИИ: Upgraide.me,,
Robocounsel,https://t.me/robocounsel,1913,"О регулировании и социальных аспектах применения ИИ и данных, преимущественно в ЕС. Публикации отражают сугубо личное мнение автора.",49.4,50.6
Code Stars,https://t.me/code_stars,1888,Code Stars provides notifications about GitHub repositories that are gaining a significant number of stars in a short period of time. Be the first to find out about trending repositories that everybody will be talking about soon.,87.8,12.2
Алексей | Взлом Роста AI,https://t.me/growth1hack,1600,Про AI + Маркетинг + Бизнес.,,
Neuroimages | Арты от нейросетей,https://t.me/neuro_images,1288,Галерея искусственного интеллекта,,
Вездесущий ИИ | Лучшие нейросети,https://t.me/ii_papka,1158,"ИИ — это круто, а с чего начать?",66.0,34.0
"Big Data, AI and Machine Learning",https://t.me/bolshiedannye,1036,"Здесь мы не стесняемся и «с нуля» разбираемся в том, что такое машинное обучение, нейросети, ИИ, прогнозная аналитика и т.д. А также читаем про кейсы, стартапы и технологии.",40.0,60.0
Ни слова о нейросетях,https://t.me/ai4bus,1001,"Максим Иванов, Вице-президент по AI БКС.",,
Victoria's Vibe ❤️‍🔥 AI образование,https://t.me/Victoriya_Academy,986,"Покажу, как использовать нейросети для контента",24.8,75.2
ТабуИИрованный,https://t.me/tabu_openai,822,Самое полезное для ИИ-специалиста,,
Oh! Future,https://t.me/ohfuture,729,Здесь ненавязчиво про технологическое искусство и культуру будущего,29.0,71.0
Эльвина Маслова| Нейросети,https://t.me/neuro_dopamine,599,Нейросети-это сложно? Абсолютно нет!,,
Ai ДА ТЫ ШО | Нейросети,https://t.me/ai_datysho,466,Ваш проводник в мир нейросетей и технологий.,70.0,30.0
"эй, ай!",https://t.me/ei_ai_channel,371,"меня зовут Миша и здесь я показываю, как прокачиваю свои будни с AI",68.0,32.0
🤖 ML Product Hub,https://t.me/ml_product,366,"Новости, кейсы и экспертные статьи на стыке ML и продуктовой разработки. Инсайты для продактов и Data Scientists. Подпишись — держи руку на пульсе инновациий!",,
AI из Гаража | Просто про ИИ в бизнесе,https://t.me/aizool,357,Пилим AI в «Гараже»,74.3,25.7
BPA,https://t.me/bpa_tech,320,"BPA — российская ИТ-компания, занимающаяся разработкой программного обеспечения в области искусственного интеллекта, робототехники и IoT",,
СДЖ 2.0,https://t.me/fromzerotojunk,320,"Про IT, ИБ, импортозамещение, софт, ИИ и что-то еще.",66.9,33.1
Блогерам: нейромагия контента 📣,https://t.me/neiromagiya_contenta,276,"Канал для тех, кто хочет рвать ленту контентом: нейросети, идеи, тексты — без ванили, но с ударом в харизму.",,
🤖 Алгоритмы ИИ,https://t.me/ai_barkov,232,Как применять нейросети в работе и жизни.,,
SpeechAI Pro,https://t.me/SpeechAIPro,218,"Технологии распознавания и синтеза речи, разработка, управление командами. Для связи - @vzaguskin",75.4,24.6
Data Cluster,https://t.me/datacluster,54,Хостинг и продажа оборудования для искусственного интеллекта!,,
Игорёк В Эфире | Нейросети и бизнес 💰,https://t.me/igorekOnAir,24,"Нейросети, SEO-продвижение, Интернет-маркетинг, Манимейкинг. Обо мне: https://seonode.ru",,
Нейро(при)Дуровщина,https://t.me/durova_hohma,17,"Юморной и придурковатый канал с авторскими шутками, историями и всякими жизненными хохмами. Нейробаловство и ничего серьёзного.",,
Бизнес 3.0. Развитие с нейросетями,https://t.me/business30neuro,5,Нейросети - какие возможности они дают бизнесу для роста и развития. Простым и понятным языком.,,
